App,Installs,Rating,Reviews,Price,Size,Genres,Category,Content Rating,Last Updated,Current Ver,Android Ver,Type,Date,Month
Star Wars™: Galaxy of Heroes,"50,000,000+",4.1,165180.0,0.0,82M,Role Playing,GAME_ROLE_PLAYING,Everyone 10+,2015-11-09,0.21.713203,4.4 and up,Free,2015-11-09,11.0
DoubleU Casino - Free Slots,"10,000,000+",4.4,224486.0,0.0,101M,Casino,GAME_CASINO,Teen,2014-02-21,6.38.3,4.0.3 and up,Free,2014-02-21,2.0
YAHTZEE® With Buddies Dice Game,"10,000,000+",4.1,74252.0,0.0,108M,Board,GAME_BOARD,Everyone 10+,2017-11-01,8.2.0,4.4 and up,Free,2017-11-01,11.0
Lily’s Garden,"10,000,000+",4.6,327240.0,0.0,157M,Puzzle,GAME_PUZZLE,Everyone,2019-02-04,1.97.0,5.0 and up,Free,2019-02-04,2.0
World Series of Poker WSOP Free Texas Holdem Poker,"50,000,000+",4.3,376318.0,0.0,114M,Card,GAME_CARD,Everyone,2013-11-05,8.5.0,4.1 and up,Free,2013-11-05,11.0
DRAGON BALL Z DOKKAN BATTLE,"10,000,000+",4.4,413631.0,0.0,Varies with device,Action,GAME_ACTION,Teen,2015-07-15,4.14.4,4.4 and up,Free,2015-07-15,7.0
Best Fiends - Free Puzzle Game,"50,000,000+",4.6,645078.0,0.0,Varies with device,Casual,GAME_CASUAL,Everyone,2014-12-10,9.1.6,Varies with device,Free,2014-12-10,12.0
Design Home: House Renovation,"50,000,000+",4.2,382612.0,0.0,96M,Simulation,GAME_SIMULATION,Everyone,2016-11-16,1.68.022,4.4 and up,Free,2016-11-16,11.0
Game of Sultans,"10,000,000+",3.9,181635.0,0.0,98M,Role Playing,GAME_ROLE_PLAYING,Teen,2018-07-26,2.9.07,4.1 and up,Free,2018-07-26,7.0
War and Order,"10,000,000+",4.2,150683.0,0.0,43M,Strategy,GAME_STRATEGY,Teen,2016-04-05,1.5.41,4.1 and up,Free,2016-04-05,4.0
AFK Arena,"10,000,000+",4.6,1285156.0,0.0,96M,Role Playing,GAME_ROLE_PLAYING,Everyone 10+,2018-06-21,1.59.03,4.1 and up,Free,2018-06-21,6.0
The Seven Deadly Sins: Grand Cross,"10,000,000+",4.2,188358.0,0.0,121M,Role Playing,GAME_ROLE_PLAYING,Teen,2020-03-02,1.2.0,4.4 and up,Free,2020-03-02,3.0
Clash of Clans,"500,000,000+",4.5,22172354.0,0.0,151M,Strategy,GAME_STRATEGY,Everyone 10+,2013-09-30,13.675.22,4.4 and up,Free,2013-09-30,9.0
Board Kings™️ - Online Multiplayer Board Game,"10,000,000+",4.4,189711.0,0.0,Varies with device,Casual,GAME_CASUAL,Everyone,2017-03-08,3.45.0,5.0 and up,Free,2017-03-08,3.0
Matchington Mansion,"50,000,000+",4.4,657373.0,0.0,154M,Puzzle,GAME_PUZZLE,Everyone,2017-10-11,1.86.1,4.4 and up,Free,2017-10-11,10.0
Summoners War,"50,000,000+",4.3,893003.0,0.0,1.1G,Role Playing,GAME_ROLE_PLAYING,Teen,2014-06-02,6.2.5,4.1 and up,Free,2014-06-02,6.0
FFBE WAR OF THE VISIONS,"1,000,000+",4.0,32642.0,0.0,110M,Simulation,GAME_SIMULATION,Teen,2020-03-18,3.0.0,5.0 and up,Free,2020-03-18,3.0
EverMerge,"5,000,000+",4.3,44194.0,0.0,114M,Puzzle,GAME_PUZZLE,Everyone,2020-05-04,1.19.0,5.0 and up,Free,2020-05-04,5.0
Game of Thrones: Conquest ™ - Strategy Game,"10,000,000+",4.0,101531.0,0.0,157M,Role Playing,GAME_ROLE_PLAYING,Teen,2017-10-17,4.5.476259,6.0 and up,Free,2017-10-17,10.0
Fire Emblem Heroes,"5,000,000+",4.3,204882.0,0.0,Varies with device,Simulation,GAME_SIMULATION,Teen,2017-02-02,5.3.0,4.4 and up,Free,2017-02-02,2.0
